text,label,lang
ಬಸ್ ಟಿಕೆಟ್ ದೃಢೀಕರಣ: ಟಿಕೆಟ್ ಸಂಖ್ಯೆ 4455 ರಂದು ಪ್ರಯಾಣಕ್ಕಾಗಿ.,0,kn
আপনার সরবরাহীকৃত প্যাকেজ লোকাল কেন্দ্রে এসেছে — ট্র্যাক করুন।,0,bn
உங்கள் ஆன்லைன் ஆர்டர் #8899 நாளை டெலிவரி ஆகும் - பயன்பாட்டில் சோதிக்கவும்.,0,ta
বিল পেমেন্ট সফল হয়েছে।,0,bn
பணபரிவர்த்தனைகள் வெற்றிகரமாக உள்ளன - உங்கள் கணக்கில் சரிபார்க்கவும்.,0,ta
తక్షణం: మీ ఖాతాను ధృవీకరించడానికి OTP షేర్ చేయండి.,1,te
आपको अमेज़न गिफ्ट मिलने वाला है। दावा करने के लिए OTP भेजें।,1,hi
आपका UPI लेन-देन विफल हुआ। वापसी के लिए अपना बैंक पासवर्ड शेयर करें।,1,hi
"ನಿಮ್ಮ ಜಿಯೋ ಡೇಟಾ 80% ಮುಗಿದಿದೆ, ಅಪ್‌ಗ್ರೆಡ್‌ಗಾಗಿ ಅಪ್ಲಿಕೇಶನ್ ಬಳಸಿ.",0,kn
UPI ವ್ಯವಹಾರ ವಿಫಲ. ಬ್ಯಾಕ್‌ಅಪ್ ಕರ್ಡ್ ಡೀಟೈಲ್ಸ್ ನೀಡಿ.,1,kn
డెలివరీ రద్దు: రీసెడ్ చేయడానికి కార్డ్ వీలు.,1,te
"আপনার অ্যাকাউন্টে সন্দেহজনক লেনদেন হয়েছে, ব্লক খুলতে OTP দিন।",1,bn
మీరు లక్ష్య బహుమతిని గెలుచుకున్నారు. క్లైమ్ చేయడానికి వివరాలు పంపండి.,1,te
ನಿಮ್ಮ ಡಾಕ್ಯುಮೆಂಟ್ ಡಿಜಿಟಲ್ ಕಾಪಿ ಅಪ್‌ಲೋಡ್ ಆಗಿದೆ.,0,kn
పూర్తి సేవ రిజిస్ట్రేషన్ చేయబడింది.,0,te
পার্সোনাল তথ্য শেয়ার করে আপনার পুরস্কার সংগ্রহ করুন।,1,bn
ತಕ್ಷಣ: ನಿಮ್ಮ ಮೊಬೈಲ್ ಬ್ಯಾಂಕಿಂಗ್ ಲಿಮಿಟ್ ಕೊನೆಗೊಂಡಿದೆ. ಲಾಗಿನ್ ಮಾಡಿ ಮತ್ತು ಪಾಸ್‌ಕೋಡ್ ಹಂಚಿಕೊಳ್ಳಿ.,1,kn
మీరు ఆన్‌లైన్ పేమెంట్ చేయలేదు. వెంటనే కార్డ్ వివరాలు ఇవ్వండి.,1,te
इंटरनेट प्लान समाप्त होने पर रिचार्ज के लिए जियो ऐप का उपयोग करें।,0,hi
आपने नॉमिनेशन राशि जीती है। पुरस्कार पाने के लिए खाता और IFSC भेजें।,1,hi
మీ సమాచారం అధికారిక పోర్టల్ లో ଅప్‌డేట్ చేయబడింది.,0,te
आपका फोन नंबर 2-घंटे में निष्क्रिय हो जाएगा। रिन्यू करने हेतु यहाँ क्लिक करें.,1,hi
ನೀವು ಲಾಟರಿ ಗೆದ್ದಿದ್ದೀರಿ. ಬಹುಮಾನ ಪಡೆಯಲು ನಿಮ್ಮ ಬ್ಯಾಂಕ್ ವಿವರಗಳನ್ನು ನೀಡಿ.,1,kn
మీ ఆధార్ అప్డేట్ అవసరం. ఇక్కడ సైన్ ఇన్ చేయండి: http://aadhaar-update.example,1,te
আপনার সাবস্ক্রিপশন সফলভাবে পুনর্নবীকরণ হয়েছে।,0,bn
আপনি লটারিতে জিতেছেন। পুরস্কার পাওয়ার জন্য আপনার ব্যাংক ডিটেইলস দিন।,1,bn
ನಿಮ್ಮ ಖಾತೆಯಲ್ಲಿ ಅನಧಿಕೃತ ವಹಿವಾಟು ಕಂಡುಬಂದಿದೆ. ಖಾತೆ ಬ್ಲಾಕ್ ತೆರವುಗೊಳಿಸಲು OTP ನೀಡಿ.,1,kn
மின்னஞ்சல் மூலம் உங்கள் அத்தியாவசிய விபரம் அனுப்பப்பட்டுள்ளது.,0,ta
आपका मोबाइल नंबर आउटडेटेड है। साइन-इन करें और OTP साझा करें।,1,hi
রিজার্ভেশন নিশ্চিত করা হয়েছে — ধন্যবাদ।,0,bn
"कृपया आधिकारिक बैंक ऐप के जरिए ही लॉगिन करें, किसी से OTP साझा न करें।",0,hi
మీరు లాక్సరీ గిఫ్ట్ గెలుచుకున్నారు. దాఖల పరచడానికి మీ PAN మరియు బ్యాంక్ వివరాలు పంపండి.,1,te
आपका डाक्युमेंट प्रोविजनल है — सत्यापन के लिए आपके PAN की एक कॉपी भेजें।,1,hi
आपका पैकेज स्थानीय डिलीवरी केंद्र में है — ऐप में ट्रैक करें।,0,hi
