text,label,lang
ಸಂಶಯಾಸ್ಪದ ಲಾಗಿನ್; 10 ನಿಮಿಷದಲ್ಲಿ ದೃಢೀಕರಿಸದಿದ್ದರೆ ಖಾತೆ ಬ್ಲಾಕ್ ಆಗುತ್ತದೆ.,1,kn
24-03-2025 ರಂದು ಕಾರ್ಡ್ ಬಳಕೆ ಪತ್ತೆ; ನಿಮ್ಮದು ಅಲ್ಲದಿದ್ದರೆ [ಕೊಂಡಿ] ನಲ್ಲಿ ವರದಿ ಮಾಡಿ.,1,kn
అనధికార లావాదేవీలు ఆపబడ్డాయి; నిర్ధారణకు OTP అవసరం.,1,te
MobileCare: ಭದ್ರತಾ ಪರಿಶೀಲನೆಗಾಗಿ ಫೋನ್ ಪರಿಶೀಲಿಸಿ—ಈಗಲೇ [ಕೊಂಡಿ] ನೋಡಿ.,1,kn
ವರ್ಗದ ಸಮಯ ಬೆಳಿಗ್ಗೆ 10ರಿಂದ 11ರವರೆಗೆ.,0,kn
TeleServe से सुरक्षा जाँच हेतु फ़ोन सत्यापित करें—अभी [लिंक] देखें।,1,hi
ಅನಧಿಕೃತ ವಹಿವಾಟು ತಡೆಗಟ್ಟಲಾಗಿದೆ; ದೃಢೀಕರಣಕ್ಕೆ OTP ಅಗತ್ಯ.,1,kn
அங்கீகரிக்கப்படாத பரிவர்த்தனைகள் தடுக்கப்பட்டன; உறுதிப்படுத்த OTP தேவை.,1,ta
"వాతావరణం బాగుంది, ప్రయాణం యథావిధిగా ఉంటుంది.",0,te
लंच के बाद टीम फोटो लिया जाएगा।,0,hi
SIM स्वैप प्रयास पाया गया; नंबर सुरक्षित करने के लिए [लिंक] देखें।,1,hi
ஆவணங்கள் பிரிண்டரில் வைத்துள்ளேன்.,0,ta
अनधिकृत लेनदेन रोके गए; पुष्टि के लिए OTP भेजें।,1,hi
"कल छुट्टी है, ऑफिस सोमवार से खुलेगा।",0,hi
"ప్యాకేజ్ ఈ రోజు చేరుతుంది, డెలివరీ ఏజెంట్ కాల్ చేస్తాడు.",0,te
ಇಂದು ಸಂಜೆ 4ಕ್ಕೆ ಸಭೆ ಕಾಂಫರೆನ್ಸ್ ರೂಮ್ ನಲ್ಲಿ ಇದೆ.,0,kn
"ரிப்போர்ட்டை மின்னஞ்சலில் அனுப்பியுள்ளேன், பெற்றதா சொல்லுங்கள்.",0,ta
ನಿಮ್ಮ ಖಾತೆ ತಾತ್ಕಾಲಿಕವಾಗಿ ಸ್ಥಗಿತಗೊಂಡಿದೆ; ಪರಿಶೀಲನೆಗೆ ತಕ್ಷಣ [ಕೊಂಡಿ] ಒತ್ತಿ.,1,kn
MobileCare वॉलेट में ₹799 ब्लॉक है; रिलीज़ हेतु OTP साझा करें।,1,hi
పుట్టినరోజు శుభాకాంక్షలు!,0,te
மீட்டிங் இணைப்பு பின்னர் பகிரப்படும்.,0,ta
வானிலை சீராக உள்ளது; பயண திட்டம் மாற்றமில்லை.,0,ta
डिलिवरी रोकी गई; पता सत्यापित करने के लिए [लिंक] खोलें।,1,hi
மீட்டிங் இணைப்பு பின்னர் பகிரப்படும்.,0,ta
"பேக்கேஜ் இன்று வரும், டெலிவரி ஏஜென்ட் அழைப்பார்.",0,ta
SIM स्वैप प्रयास पाया गया; नंबर सुरक्षित करने के लिए [लिंक] देखें।,1,hi
ಕ್ರಿಕೆಟ್ ಪಂದ್ಯ ಸಂಜೆ ಆರಂಭ; ಸಮಯಕ್ಕೆ ಬನ್ನಿ.,0,kn
